simulated time	num cells	num division	num death	wall time
1670	447	0	0	-1.53629e+009
1680	448	1	0	-1.53629e+009
1690	448	1	1	-1.53629e+009
1700	446	0	2	-1.53629e+009
1710	446	0	0	-1.53629e+009
1720	448	2	0	-1.53629e+009
1730	450	2	0	-1.53629e+009
1740	450	0	0	-1.53629e+009
1750	450	0	0	-1.53629e+009
1760	454	4	0	-1.53629e+009
1770	454	0	0	-1.53629e+009
1780	454	0	0	-1.53629e+009
1790	454	0	0	-1.53629e+009
1800	454	0	0	-1.53629e+009
1810	455	1	0	-1.53629e+009
1820	455	0	0	-1.53629e+009
1830	456	1	0	-1.53629e+009
1840	455	1	2	-1.53629e+009
1850	456	1	0	-1.53629e+009
1860	457	1	0	-1.53629e+009
1870	457	0	0	-1.53629e+009
1880	457	0	0	-1.53629e+009
1890	458	1	0	-1.53629e+009
1900	459	1	0	-1.53629e+009
1910	458	0	1	-1.53629e+009
1920	458	0	0	-1.53629e+009
1930	458	0	0	-1.53629e+009
1940	457	0	1	-1.53629e+009
1950	456	0	1	-1.53629e+009
1960	456	0	0	-1.53629e+009
1970	457	1	0	-1.53629e+009
1980	457	0	0	-1.53629e+009
1990	457	0	0	-1.53629e+009
2000	456	0	1	-1.53629e+009
2010	456	0	0	-1.53629e+009
2020	456	0	0	-1.53629e+009
2030	456	1	1	-1.53629e+009
2040	455	0	1	-1.53629e+009
2050	454	0	1	-1.53629e+009
2060	454	1	1	-1.53629e+009
2070	454	0	0	-1.53629e+009
2080	456	2	0	-1.53629e+009
2090	456	0	0	-1.53629e+009
2100	456	0	0	-1.53629e+009
2110	457	1	0	-1.53629e+009
2120	456	0	1	-1.53629e+009
2130	456	0	0	-1.53629e+009
2140	456	0	0	-1.53629e+009
2150	457	1	0	-1.53629e+009
2160	457	0	0	-1.53629e+009
2170	456	0	1	-1.53629e+009
2180	456	0	0	-1.53629e+009
2190	456	0	0	-1.53629e+009
2200	456	0	0	-1.53629e+009
2210	456	1	1	-1.53629e+009
2220	456	0	0	-1.53629e+009
2230	456	1	1	-1.53629e+009
2240	456	0	0	-1.53629e+009
2250	456	0	0	-1.53629e+009
2260	456	0	0	-1.53629e+009
2270	458	2	0	-1.53629e+009
2280	458	0	0	-1.53629e+009
2290	458	0	0	-1.53629e+009
2300	459	1	0	-1.53629e+009
2310	459	0	0	-1.53629e+009
2320	459	0	0	-1.53629e+009
2330	459	0	0	-1.53629e+009
2340	460	1	0	-1.53629e+009
2350	461	1	0	-1.53629e+009
2360	461	1	1	-1.53629e+009
2370	462	1	0	-1.53629e+009
2380	463	1	0	-1.53629e+009
2390	464	1	0	-1.53629e+009
2400	463	0	1	-1.53629e+009
2410	462	0	1	-1.53629e+009
2420	463	1	0	-1.53629e+009
2430	463	0	0	-1.53629e+009
2440	464	3	2	-1.53629e+009
2450	464	0	0	-1.53629e+009
2460	462	0	2	-1.53629e+009
2470	461	0	1	-1.53629e+009
2480	461	0	0	-1.53629e+009
2490	463	2	0	-1.53629e+009
2500	463	0	0	-1.53629e+009
2510	463	0	0	-1.53629e+009
2520	463	0	0	-1.53629e+009
2530	465	2	0	-1.53629e+009
2540	465	1	1	-1.53629e+009
2550	465	0	0	-1.53629e+009
2560	466	1	0	-1.53629e+009
2570	468	3	1	-1.53629e+009
2580	468	0	0	-1.53629e+009
2590	466	0	2	-1.53629e+009
2600	467	1	0	-1.53629e+009
2610	467	0	0	-1.53629e+009
2620	467	0	0	-1.53629e+009
2630	466	0	1	-1.53629e+009
2640	468	2	0	-1.53629e+009
2650	468	0	0	-1.53629e+009
2660	469	1	0	-1.53629e+009
2670	469	0	0	-1.53629e+009
2680	470	1	0	-1.53629e+009
2690	471	1	0	-1.53629e+009
2700	471	0	0	-1.53629e+009
2710	474	3	0	-1.53629e+009
2720	475	1	0	-1.53629e+009
2730	475	0	0	-1.53629e+009
2740	476	1	0	-1.53629e+009
2750	476	0	0	-1.53629e+009
2760	477	1	0	-1.53629e+009
2770	478	1	0	-1.53629e+009
2780	478	0	0	-1.53629e+009
2790	478	0	0	-1.53629e+009
2800	479	1	0	-1.53629e+009
2810	481	2	0	-1.53629e+009
2820	481	0	0	-1.53629e+009
2830	481	0	0	-1.53629e+009
2840	481	0	0	-1.53629e+009
2850	481	0	0	-1.53629e+009
2860	484	3	0	-1.53629e+009
2870	483	0	1	-1.53629e+009
2880	483	0	0	-1.53629e+009
2880.01	483	0	0	-1.53629e+009
